"satisfaction_level";"last_evaluation";"number_project";"average_montly_hours";"time_spend_company";"Work_accident";"left";"promotion_last_5years";"salary";"satisfied"
"1";0.38;0.53;2;157;3;0;1;0;"low";FALSE
"2";0.8;0.86;5;262;6;0;1;0;"medium";TRUE
"3";0.11;0.88;7;272;4;0;1;0;"medium";FALSE
"4";0.72;0.87;5;223;5;0;1;0;"low";TRUE
"5";0.37;0.52;2;159;3;0;1;0;"low";FALSE
"6";0.41;0.5;2;153;3;0;1;0;"low";FALSE
"7";0.1;0.77;6;247;4;0;1;0;"low";FALSE
"8";0.92;0.85;5;259;5;0;1;0;"low";TRUE
"9";0.89;1;5;224;5;0;1;0;"low";TRUE
"10";0.42;0.53;2;142;3;0;1;0;"low";FALSE
"11";0.45;0.54;2;135;3;0;1;0;"low";FALSE
"12";0.11;0.81;6;305;4;0;1;0;"low";FALSE
"13";0.84;0.92;4;234;5;0;1;0;"low";TRUE
"14";0.41;0.55;2;148;3;0;1;0;"low";FALSE
"15";0.36;0.56;2;137;3;0;1;0;"low";FALSE
"16";0.38;0.54;2;143;3;0;1;0;"low";FALSE
"17";0.45;0.47;2;160;3;0;1;0;"low";FALSE
"18";0.78;0.99;4;255;6;0;1;0;"low";TRUE
"19";0.45;0.51;2;160;3;1;1;1;"low";FALSE
"20";0.76;0.89;5;262;5;0;1;0;"low";TRUE
"21";0.11;0.83;6;282;4;0;1;0;"low";FALSE
"22";0.38;0.55;2;147;3;0;1;0;"low";FALSE
"23";0.09;0.95;6;304;4;0;1;0;"low";FALSE
"24";0.46;0.57;2;139;3;0;1;0;"low";FALSE
"25";0.4;0.53;2;158;3;0;1;0;"low";FALSE
"26";0.89;0.92;5;242;5;0;1;0;"low";TRUE
"27";0.82;0.87;4;239;5;0;1;0;"low";TRUE
"28";0.4;0.49;2;135;3;0;1;0;"low";FALSE
"29";0.43;0.56;2;157;3;0;1;0;"low";FALSE
"30";0.17;0.84;5;232;3;0;1;0;"low";FALSE
"31";0.44;0.45;2;132;3;0;1;0;"low";FALSE
"32";0.37;0.57;2;130;3;0;1;0;"low";FALSE
"33";0.1;0.79;6;291;4;0;1;0;"low";FALSE
"34";0.4;0.5;2;130;3;0;1;0;"low";FALSE
"35";0.89;1;5;246;5;0;1;0;"low";TRUE
"36";0.42;0.48;2;143;3;0;1;0;"low";FALSE
"37";0.46;0.55;2;129;3;0;1;0;"low";FALSE
"38";0.09;0.83;6;255;4;0;1;0;"low";FALSE
"39";0.37;0.51;2;155;3;0;1;0;"low";FALSE
"40";0.1;0.77;6;265;4;0;1;0;"low";FALSE
"41";0.1;0.84;6;279;4;0;1;0;"low";FALSE
"42";0.11;0.97;6;284;4;0;1;0;"low";FALSE
"43";0.9;1;5;221;6;0;1;0;"medium";TRUE
"44";0.38;0.52;2;154;3;0;1;0;"medium";FALSE
"45";0.36;0.52;2;147;3;0;1;0;"medium";FALSE
"46";0.42;0.46;2;150;3;0;1;0;"medium";FALSE
"47";0.09;0.94;7;267;4;0;1;0;"medium";FALSE
"48";0.43;0.52;2;158;3;0;1;0;"medium";FALSE
"49";0.39;0.48;2;160;3;0;1;0;"low";FALSE
"50";0.45;0.51;2;147;3;0;1;0;"low";FALSE
